Date,Open,Adj Close,signal,target_pos,capital,NAV,cash,transaction_cost,intraday_PnL
2022-03-02,22.68,22.5,-1.0,-12.0,150394.63133581643,135000.0,15394.631335816433,0.7397260273972602,1079.9999999999982
2022-03-03,22.58,22.639999,0.0,-12.0,150033.8930070822,135839.99399999998,14193.899007082218,0.7443287342465753,-359.9940000000075
2022-03-04,22.120001,22.059999,-1.0,-12.0,150393.17974684108,132359.994,18033.185746841074,0.7252602410958904,360.01199999998335
2022-03-07,21.5,21.219999,-1.0,-12.0,152072.48810303834,127319.994,24752.494103038334,0.697643802739726,1680.0059999999917
2022-03-08,21.280001,20.879999,0.0,-12.0,154471.81363731777,125279.99400000002,29191.81963731775,0.6864657205479453,2400.0119999999824
2022-03-09,21.0,20.780001,0.0,-12.0,155791.12445920272,124680.006,31111.118459202728,0.6831781150684931,1319.9940000000083
2022-03-10,21.18,21.1,1.0,14.0,155230.31514413422,147700.00000000003,7530.315144134191,0.8093150684931509,-559.9999999999881
2022-03-11,20.6,20.799999,-1.0,-15.0,153729.4678496548,155999.9925,-2270.524650345207,0.8547944794520548,-1499.9924999999869
2022-03-14,20.42,19.799999,-1.0,-15.0,158378.66165106575,148499.9925,9878.669151065755,0.8136985890410958,4650.007500000015
2022-03-15,19.299999,18.65,-1.0,-15.0,163252.8877127096,139875.0,23377.887712709606,0.7664383561643836,4874.9925000000085
2022-03-16,19.15,20.24,0.0,-15.0,155077.05593188768,151799.99999999997,3277.055931887706,0.8317808219178081,-8174.999999999999
2022-03-17,21.4,21.68,1.0,14.0,157036.22437024384,151760.0,5276.224370243843,0.8315616438356164,1960.000000000008
2022-03-18,21.4,21.66,-1.0,-14.0,155215.39357572328,151620.0,3595.393575723283,0.8307945205479452,-1820.000000000011
2022-03-21,22.0,21.4,1.0,14.0,151014.57275380546,149799.99999999997,1214.5727538054925,0.8208219178082191,-4200.00000000001
2022-03-22,21.540001,22.08,0.0,14.0,154793.71884969587,154560.0,233.71884969586972,0.846904109589041,3779.9929999999868
2022-03-23,22.219999,22.32,1.0,14.0,155492.8697401068,156240.0,-747.1302598931943,0.8561095890410959,700.0069999999923
2022-03-24,22.139999,22.139999,0.0,14.0,155492.0205346657,154979.99300000002,512.0275346656854,0.8492054410958905,0.0
2022-03-25,21.959999,21.58,0.0,14.0,152831.19980863828,151060.0,1771.199808638281,0.8277260273972603,-2659.993000000011
2022-03-28,21.6,21.879999,0.0,14.0,154790.3535757999,153159.99300000002,1630.3605757998885,0.8392328383561645,1959.9930000000008
2022-03-29,21.98,22.120001,1.0,14.0,155769.51213740537,154840.00699999998,929.5051374053874,0.8484383945205478,980.0069999999863
2022-03-30,22.299999,22.4,1.0,14.0,156468.65995932315,156799.99999999997,-331.3400406768196,0.8591780821917807,700.0069999999923
2022-03-31,22.4,22.280001,1.0,14.0,155627.81238394234,155960.00699999998,-332.1946160576481,0.8545753808219178,-839.9929999999997
2022-04-01,21.9,22.26,0.0,14.0,158146.9585757232,155820.00000000003,2326.958575723169,0.8538082191780824,2520.000000000021
2022-04-04,22.440001,22.700001,0.0,14.0,159966.08789075335,158900.007,1066.0808907533356,0.8706849698630138,1820.000000000011
2022-04-06,22.459999,22.26,0.0,14.0,158565.2410825342,155820.00000000003,2745.241082534165,0.8538082191780824,-1399.992999999988
2022-04-07,22.139999,22.02,-1.0,-14.0,159404.38947979445,154140.0,5264.389479794452,0.8446027397260275,839.9929999999997
2022-04-08,21.959999,22.1,0.0,-14.0,158423.53480856156,154700.00000000003,3723.534808561526,0.8476712328767125,-980.0070000000112
2022-04-11,21.879999,21.42,-1.0,-14.0,161642.70621952045,149940.0,11702.706219520449,0.8215890410958904,3219.9929999999986
2022-04-12,21.48,21.52,0.0,-14.0,161361.88079486293,150640.0,10721.880794862926,0.8254246575342467,-279.99999999999403
