,Open,Adj Close,signal,target_pos,capital,NAV,cash,transaction_cost,intraday_PnL
2021-06-24,29.219999,29.280001,1.0,4.0,68995.5963712481,58560.002,10435.594371248102,0.1283506893150685,120.00399999999445
2021-06-25,29.360001,29.620001,0.0,4.0,69515.46653014782,59240.002,10275.464530147823,0.1298411002739726,519.999999999996
2021-06-28,29.639999,29.639999,0.0,4.0,69515.33660138509,59279.998,10235.33860138509,0.12992876273972603,0.0
2021-06-29,29.639999,29.42,0.0,4.0,69075.20963700154,58840.0,10235.209637001535,0.12896438356164383,-439.99799999999567
2021-06-30,29.48,29.24,0.0,4.0,68595.08146165907,58480.0,10115.081461659065,0.12817534246575343,-480.000000000004
2021-07-02,29.24,28.74,-1.0,-4.0,69594.95547809741,57480.0,12114.955478097414,0.12598356164383562,1000.0
2021-07-05,28.700001,28.639999,-1.0,-4.0,69714.83393289632,57279.998,12434.83593289632,0.1255452010958904,120.00400000000155
2021-07-06,28.639999,28.559999,0.0,-4.0,69874.70873838016,57119.998,12754.710738380156,0.12519451616438357,159.9999999999966
2021-07-07,28.48,28.540001,0.0,-4.0,69754.58163152647,57080.002,12674.579631526467,0.12510685369863014,-120.0019999999995
2021-07-08,28.4,27.74,0.0,-4.0,71074.46003152647,55480.0,15594.460031526469,0.1216,1320.0000000000002
2021-07-09,27.74,27.940001,-1.0,-4.0,70674.33555480975,55880.002,14794.333554809746,0.12247671671232878,-400.00200000000063
2021-07-12,28.139999,28.1,0.0,-4.0,70754.21037672754,56200.0,14554.21037672754,0.12317808219178082,79.99799999999624
